x,y
373,-100
189,-101
190,-101
306,-101
327,-101
337,-101
357,-101
371,-101
372,-101
373,-101
189,-102
306,-102
307,-102
326,-102
336,-102
356,-102
370,-102
188,-103
189,-103
308,-103
309,-103
310,-103
326,-103
336,-103
355,-103
356,-103
369,-103
188,-104
310,-104
311,-104
312,-104
319,-104
320,-104
321,-104
322,-104
323,-104
324,-104
325,-104
336,-104
354,-104
355,-104
368,-104
369,-104
181,-105
182,-105
183,-105
187,-105
188,-105
312,-105
313,-105
317,-105
318,-105
319,-105
325,-105
326,-105
327,-105
328,-105
335,-105
354,-105
367,-105
368,-105
178,-106
179,-106
180,-106
184,-106
185,-106
186,-106
313,-106
314,-106
316,-106
317,-106
328,-106
329,-106
330,-106
335,-106
354,-106
366,-106
367,-106
174,-107
175,-107
176,-107
177,-107
314,-107
315,-107
316,-107
330,-107
331,-107
335,-107
353,-107
364,-107
365,-107
173,-108
174,-108
331,-108
332,-108
335,-108
352,-108
353,-108
363,-108
364,-108
172,-109
173,-109
332,-109
333,-109
335,-109
352,-109
362,-109
363,-109
170,-110
171,-110
333,-110
334,-110
351,-110
361,-110
362,-110
169,-111
170,-111
335,-111
350,-111
351,-111
360,-111
361,-111
168,-112
169,-112
335,-112
349,-112
350,-112
359,-112
360,-112
168,-113
335,-113
336,-113
337,-113
338,-113
339,-113
340,-113
341,-113
348,-113
349,-113
358,-113
359,-113
168,-114
341,-114
342,-114
343,-114
348,-114
356,-114
357,-114
158,-115
159,-115
160,-115
161,-115
165,-115
167,-115
343,-115
344,-115
345,-115
347,-115
348,-115
355,-115
356,-115
157,-116
162,-116
163,-116
164,-116
166,-116
167,-116
345,-116
346,-116
354,-116
355,-116
153,-117
154,-117
155,-117
156,-117
165,-117
346,-117
347,-117
353,-117
354,-117
151,-118
152,-118
347,-118
348,-118
352,-118
353,-118
150,-119
151,-119
348,-119
351,-119
352,-119
149,-120
150,-120
349,-120
351,-120
147,-121
148,-121
351,-121
147,-122
351,-122
146,-123
351,-123
146,-124
351,-124
146,-125
351,-125
145,-126
351,-126
135,-127
136,-127
137,-127
138,-127
139,-127
140,-127
141,-127
142,-127
143,-127
144,-127
145,-127
350,-127
132,-128
133,-128
134,-128
350,-128
129,-129
130,-129
131,-129
350,-129
127,-130
128,-130
350,-130
126,-131
349,-131
350,-131
125,-132
349,-132
124,-133
348,-133
124,-134
348,-134
123,-135
348,-135
122,-136
123,-136
347,-136
348,-136
112,-137
113,-137
114,-137
115,-137
121,-137
122,-137
347,-137
107,-138
110,-138
111,-138
116,-138
117,-138
118,-138
119,-138
120,-138
346,-138
105,-139
106,-139
108,-139
109,-139
346,-139
104,-140
105,-140
346,-140
103,-141
104,-141
346,-141
102,-142
103,-142
347,-142
348,-142
101,-143
102,-143
347,-143
100,-144
101,-144
348,-144
99,-145
100,-145
348,-145
89,-146
90,-146
91,-146
92,-146
93,-146
94,-146
95,-146
96,-146
97,-146
98,-146
348,-146
85,-147
86,-147
87,-147
88,-147
348,-147
84,-148
85,-148
348,-148
82,-149
83,-149
84,-149
348,-149
82,-150
348,-150
81,-151
348,-151
80,-152
81,-152
347,-152
348,-152
78,-153
79,-153
347,-153
78,-154
346,-154
78,-155
345,-155
346,-155
77,-156
345,-156
68,-157
69,-157
70,-157
71,-157
72,-157
73,-157
74,-157
75,-157
76,-157
345,-157
62,-158
63,-158
64,-158
65,-158
66,-158
67,-158
345,-158
59,-159
60,-159
61,-159
346,-159
57,-160
58,-160
346,-160
56,-161
346,-161
55,-162
346,-162
54,-163
55,-163
347,-163
52,-164
53,-164
347,-164
348,-164
51,-165
52,-165
348,-165
50,-166
51,-166
348,-166
44,-167
46,-167
49,-167
50,-167
349,-167
37,-168
38,-168
39,-168
40,-168
41,-168
42,-168
43,-168
45,-168
47,-168
48,-168
348,-168
33,-169
34,-169
35,-169
36,-169
347,-169
348,-169
32,-170
33,-170
347,-170
30,-171
31,-171
346,-171
348,-171
25,-172
26,-172
28,-172
29,-172
346,-172
25,-173
28,-173
346,-173
26,-174
27,-174
346,-174
25,-175
26,-175
345,-175
346,-175
25,-176
344,-176
345,-176
24,-177
343,-177
344,-177
24,-178
342,-178
343,-178
23,-179
341,-179
342,-179
23,-180
341,-180
22,-181
341,-181
22,-182
341,-182
21,-183
341,-183
21,-184
342,-184
21,-185
342,-185
20,-186
342,-186
19,-187
20,-187
342,-187
18,-188
19,-188
342,-188
17,-189
18,-189
342,-189
15,-190
16,-190
342,-190
13,-191
14,-191
342,-191
13,-192
342,-192
12,-193
342,-193
11,-194
12,-194
342,-194
10,-195
11,-195
340,-195
341,-195
10,-196
340,-196
10,-197
340,-197
9,-198
340,-198
9,-199
340,-199
9,-200
340,-200
9,-201
340,-201
9,-202
340,-202
9,-203
340,-203
9,-204
340,-204
9,-205
340,-205
10,-206
340,-206
10,-207
340,-207
10,-208
339,-208
340,-208
10,-209
339,-209
10,-210
339,-210
9,-211
338,-211
9,-212
337,-212
338,-212
9,-213
336,-213
337,-213
8,-214
336,-214
8,-215
335,-215
8,-216
334,-216
335,-216
7,-217
333,-217
334,-217
7,-218
332,-218
333,-218
7,-219
330,-219
331,-219
332,-219
